GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
bookstore,com.example.bookstore.service,BookService,10,90,0,2,0,22,2,9,2,8
bookstore,com.example.bookstore.service,AuthService,0,69,0,4,0,16,0,5,0,3
bookstore,com.example.bookstore.service,NotificationService,18,0,0,0,6,0,3,0,3,0
bookstore,com.example.bookstore.service,ReservationService,0,110,0,2,0,24,0,8,0,7
bookstore,com.example.bookstore.enums,ReservationStatus,0,21,0,0,0,4,0,1,0,1
bookstore,com.example.bookstore.strategy,EmailNotificationStrategy,6,0,0,0,2,0,2,0,2,0
bookstore,com.example.bookstore.strategy,SystemNotificationStrategy,6,0,0,0,2,0,2,0,2,0
bookstore,com.example.bookstore,BookstoreApplication,8,0,0,0,3,0,2,0,2,0
bookstore,com.example.bookstore.entity,Book,0,38,0,0,0,17,0,11,0,11
bookstore,com.example.bookstore.entity,Role,6,11,0,0,2,6,2,3,2,3
bookstore,com.example.bookstore.entity,Reservation,3,35,0,0,1,16,1,10,1,10
bookstore,com.example.bookstore.entity,User,3,35,0,0,1,16,1,10,1,10
bookstore,com.example.bookstore.dto,CreateReservationRequest,0,17,0,0,0,7,0,5,0,5
bookstore,com.example.bookstore.dto,RegisterRequest,0,24,0,0,0,10,0,7,0,7
bookstore,com.example.bookstore.controller,ReservationController,0,11,0,0,0,4,0,2,0,2
bookstore,com.example.bookstore.controller,AdminBookController,0,22,0,0,0,7,0,4,0,4
bookstore,com.example.bookstore.controller,AdminReservationController,0,16,0,0,0,5,0,3,0,3
bookstore,com.example.bookstore.controller,BookController,0,20,0,0,0,6,0,4,0,4
bookstore,com.example.bookstore.controller,AuthController,0,11,0,0,0,4,0,2,0,2
